guid,scenario,mvca,rtt,bw,innerqdisc,cong
20230519-16h59m48s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-17h13m17s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-17h35m46s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h38m44s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-20h17m39s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-20h35m38s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-20h40m08s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-20h44m38s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-16h37m19s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-16h41m49s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-16h55m18s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-18h20m44s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h25m14s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-17h08m47s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-17h17m47s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-17h26m46s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h02m45s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h07m15s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h32m40s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-20h26m39s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h34m14s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h10m12s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h14m41s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-19h37m10s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-17h22m16s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-17h53m45s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h11m45s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-18h56m42s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-19h01m12s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h46m10s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-20h13m09s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-16h32m06s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-17h04m18s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-20h22m09s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h23m41s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-19h28m11s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-19h41m40s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-19h50m40s,JUST_CALL,WHATSAPP,10,0.225,bfifo limit 2813,bbr
20230519-19h55m10s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-20h04m09s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230519-20h49m08s,JUST_CALL,WHATSAPP,200,0.225,bfifo limit 56250,bbr
20230228-19h37m37s,INCUMBENT_CALL,WHATSAPP,50,0.45,bfifo limit 28125,cubic
20230228-20h21m14s,INCUMBENT_CALL,WHATSAPP,50,0.45,codel,bbr2
20230228-22h27m14s,INCUMBENT_TCP,WHATSAPP,50,0.45,bfifo limit 5625,bbr2
20230301-11h14m04s,JUST_CALL_SCREENCAPTURE,TELEGRAM,50,1.0,bfifo limit 62500,bbr
20230301-12h32m11s,INCUMBENT_TCP,WHATSAPP,50,0.45,bfifo limit 5625,cubic
20230301-16h29m36s,INCUMBENT_TCP,WHATSAPP,50,0.45,bfifo limit 28125,cubic
20230301-18h21m17s,INCUMBENT_TCP,WHATSAPP,50,0.45,bfifo limit 5625,bbr2
20230301-23h29m39s,INCUMBENT_TCP,TELEGRAM,50,0.75,fq_codel,cubic
20230227-18h54m45s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-20h45m26s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-21h19m35s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-20h31m23s,JUST_CALL,TELEGRAM,50,5.0,bfifo limit 62500,bbr
20230228-05h36m52s,BWP,SIGNAL,50,-2.0,bfifo limit 10000,<nocong>
20230228-07h25m40s,BWP,SIGNAL,50,-2.0,bfifo limit 10000,<nocong>
20230227-18h26m44s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-18h50m13s,JUST_CALL,WHATSAPP,50,5.0,bfifo limit 62500,bbr
20230227-18h59m24s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-19h13m21s,JUST_CALL,SIGNAL,50,5.0,bfifo limit 62500,bbr
20230227-19h22m46s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-19h27m25s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-19h56m11s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-20h05m28s,JUST_CALL,TELEGRAM,50,5.0,bfifo limit 62500,bbr
20230227-20h50m05s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-20h59m23s,JUST_CALL,TELEGRAM,50,5.0,bfifo limit 62500,bbr
20230227-21h04m47s,JUST_CALL,SIGNAL,50,5.0,bfifo limit 62500,bbr
20230227-21h14m11s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-21h34m17s,JUST_CALL,SIGNAL,50,5.0,bfifo limit 62500,bbr
20230227-22h07m58s,JUST_CALL,WHATSAPP,50,5.0,bfifo limit 62500,bbr
20230227-22h21m54s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230227-22h41m14s,JUST_CALL,TELEGRAM,50,1.0,bfifo limit 12500,bbr
20230227-22h45m53s,JUST_CALL,SIGNAL,50,1.0,bfifo limit 12500,bbr
20230227-18h36m09s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230227-19h04m09s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230227-19h18m13s,JUST_CALL,WHATSAPP,50,5.0,bfifo limit 62500,bbr
20230227-20h00m56s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230227-20h54m50s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230227-21h09m39s,JUST_CALL,WHATSAPP,50,5.0,bfifo limit 62500,bbr
20230227-20h40m54s,JUST_CALL,WHATSAPP,50,5.0,bfifo limit 62500,bbr
20230227-22h50m39s,JUST_CALL,WHATSAPP,50,1.0,bfifo limit 12500,bbr
20230228-01h49m19s,BWP,WHATSAPP,50,-2.0,bfifo limit 10000,<nocong>
